Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
BANDHANBNK,213.25,7759701,19.89,79.93,70.57,60.22,0.0,100.0,Sideways,Volatile,44.09,202.59,223.91,196.19,230.31,False
XTRANET,127.0,2222115,61.72,27.07,77.71,0.0,0.0,100.0,Trending,Volatile,20.0,120.65,133.35,116.84,137.16,False
SBIFUNDS,574.0,84848648,30.71,51.35,24.39,38.59,93.23,40.49,Trending,Stable,60.83,545.3,602.7,528.08,619.92,False
RVNL,225.44,3555757,29.58,54.49,19.7,40.83,77.57,32.7,Trending,Stable,53.9,214.17,236.71,207.4,243.48,False
FILATEX,71.57,3860661,38.26,38.32,43.05,23.47,41.6,71.47,Trending,Volatile,40.32,67.99,75.15,65.84,77.3,False
RAIN,206.77,4363607,13.61,43.25,57.82,72.78,66.24,95.98,Sideways,Stable,74.81,196.43,217.11,190.23,223.31,True
TI,442.2,310951,37.79,28.39,32.34,24.43,0.0,53.68,Trending,Volatile,20.51,420.09,464.31,406.82,477.58,False
MANAPPURAM,325.45,5049814,22.91,32.74,27.04,54.17,13.72,44.89,Sideways,Volatile,36.13,309.18,341.72,299.41,351.49,False
CGCL,256.38,2118242,22.31,61.72,44.82,55.39,41.39,74.41,Sideways,Volatile,53.59,243.56,269.2,235.87,276.89,False
JPPOWER,16.87,63141609,41.28,45.13,33.6,17.44,75.66,55.78,Trending,Stable,48.4,16.03,17.71,15.52,18.22,False
IOLCP,148.33,6212291,26.21,39.8,42.27,47.58,48.99,70.16,Trending,Volatile,52.66,140.91,155.75,136.46,160.2,False
MONQ50,142.92,20988,62.0,27.21,21.1,0.0,0.0,35.02,Trending,Volatile,7.0,135.77,150.07,131.49,154.35,False
VIYASH,268.65,1618461,18.55,55.24,38.17,62.89,73.82,63.36,Sideways,Stable,67.36,255.22,282.08,247.16,290.14,True
JSWINFRA,342.15,3996064,17.69,58.4,32.17,64.62,58.01,53.39,Sideways,Stable,59.73,325.04,359.26,314.78,369.52,True
CSBBANK,368.75,395286,20.7,68.06,32.86,58.61,9.7,54.55,Sideways,Volatile,38.23,350.31,387.19,339.25,398.25,False
SAMMAANCAP,163.62,6911100,39.72,58.59,33.67,20.56,57.07,55.89,Trending,Stable,42.23,155.44,171.8,150.53,176.71,False
VISL,33.87,30240347,24.2,52.93,52.13,51.6,85.33,86.53,Sideways,Stable,72.08,32.18,35.56,31.16,36.58,True
SKIPPER,538.8,357164,10.14,52.42,36.64,79.72,87.92,60.82,Sideways,Stable,79.22,511.86,565.74,495.7,581.9,True
DABUR,427.2,1048161,34.99,63.7,20.03,30.02,31.52,33.25,Trending,Volatile,31.26,405.84,448.56,393.02,461.38,False
M&MFIN,324.2,1644456,37.48,32.51,56.85,25.03,12.56,94.36,Trending,Volatile,33.91,307.99,340.41,298.26,350.14,False
VOGL,35.66,27109792,21.04,50.43,69.36,57.93,97.83,100.0,Sideways,Stable,82.3,33.88,37.44,32.81,38.51,True
EPL,239.52,446969,15.7,53.59,29.04,68.59,82.07,48.21,Sideways,Stable,69.91,227.54,251.5,220.36,258.68,True
IDBI,87.02,13665967,21.67,59.85,13.17,56.65,50.73,21.86,Sideways,Stable,47.32,82.67,91.37,80.06,93.98,True
TATATECH,758.05,1511592,30.65,48.97,48.11,38.71,94.85,79.86,Trending,Stable,69.39,720.15,795.95,697.41,818.69,False
ANGELONE,328.95,6434814,13.94,73.22,24.21,72.12,0.0,40.19,Sideways,Volatile,36.89,312.5,345.4,302.63,355.27,False
USHAMART,494.95,404640,14.03,47.07,23.14,71.94,85.34,38.41,Sideways,Stable,70.59,470.2,519.7,455.35,534.55,True
TATAGOLD,13.61,36937534,27.38,31.37,14.29,45.23,6.85,23.72,Trending,Volatile,25.58,12.93,14.29,12.52,14.7,False
KNRCON,122.57,447859,19.62,45.03,37.48,60.76,75.13,62.22,Sideways,Stable,66.8,116.44,128.7,112.76,132.38,True
INDIACEM,410.3,1559839,44.44,65.37,23.21,11.12,23.17,38.53,Trending,Volatile,21.42,389.78,430.82,377.48,443.12,False
BLUESTONE,599.05,678215,12.87,28.58,89.02,74.27,0.0,100.0,Sideways,Volatile,49.71,569.1,629.0,551.13,646.97,False
STYLEBAAZA,297.65,203080,37.67,43.83,54.91,24.66,69.16,91.15,Trending,Stable,55.76,282.77,312.53,273.84,321.46,False
KTKBANK,273.15,978081,28.9,34.6,31.8,42.2,22.98,52.79,Trending,Volatile,36.63,259.49,286.81,251.3,295.0,False
SETFGOLD,119.41,3421262,27.06,32.15,14.97,45.89,10.75,24.85,Trending,Volatile,27.63,113.44,125.38,109.86,128.96,False
TIMETECHNO,204.03,8168659,24.34,53.04,32.81,51.32,84.78,54.47,Sideways,Stable,65.33,193.83,214.23,187.71,220.35,True
JSWENERGY,541.2,5700128,26.59,44.73,19.57,46.83,73.66,32.49,Trending,Stable,54.69,514.14,568.26,497.9,584.5,False
JINDALSAW,269.45,1258760,17.23,52.85,26.41,65.54,85.76,43.84,Sideways,Stable,69.29,255.98,282.92,247.89,291.01,True
HDFCSILVER,204.79,1771785,17.26,37.31,23.13,65.49,36.55,38.4,Sideways,Volatile,48.49,194.55,215.03,188.41,221.17,False
IRFC,88.41,5972073,31.13,58.5,13.41,37.75,57.51,22.25,Trending,Stable,42.56,83.99,92.83,81.34,95.48,False
COHANCE,441.9,751455,28.12,52.77,30.96,43.76,86.14,51.4,Trending,Stable,62.24,419.8,464.0,406.55,477.25,False
